Land-River Segment,FIPS,County,Tributary Basin,Major Basin,Source Sector,"Total N, 1985 (lb.)","Total N, 2007 (lb.)","Total N, 2009 (lb.)","Total N, 2010 (lb.)","Total N, 2011 (lb.)","Total N, 2012 (lb.)","Total N, 2013 (lb.)","Total N, 2014 (lb.)","Total N, 2015 (lb.)","Total N, 2016 (lb)","Total N Target, 2017 (lb.)",Total N Target 2025 (lb.)
A24001PU1_3580_3780,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Wastewater,4478.22351,4448.294921,4433.315811,4457.229515,5556.051254,5546.767654,5527.881157,5588.55867,5437.447266,5638.603363,4975.191995,5336.442784
A24001PU2_3180_3370,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Agriculture,416.1124492,170.677277,144.5465883,146.823377,142.6436187,129.5491633,114.7218988,190.7375336,185.0768068,177.5751474,146.219491,147.3347595
A24001PU2_3180_3370,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Forest,480.5907097,429.1714229,427.2420959,428.2346439,429.3555107,429.1724129,429.8674774,412.2636895,409.9669707,418.9251146,432.6286533,436.2196917
A24001PU2_3180_3370,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Non-Tidal Atm,0,0,0,0,0,0,0,0,0,0,0,0
A24001PU2_3180_3370,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Septic,0,6.725055218,6.813694,6.859467983,6.859461784,6.859449863,11.59263992,8.683818817,8.586138725,8.433747292,5.985414972,5.433228953
A24001PU2_3180_3370,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Stormwater,25.18688932,19.55453404,19.5819659,19.32335425,19.3292079,19.40435266,23.43031406,23.72594976,21.73005697,21.93942508,17.92626276,16.82246067
A24001PU2_3180_3370,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Wastewater,0,0,0,0,0,0,0,0,0,0,0,
A24003WM0_3742_0000,24003,ANNE ARUNDEL,Patapsco/Back,Western Shore of Chesapeake Bay,Septic,0,0,0,0,,,,,,,0,0
A24001PU2_3370_4020,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Agriculture,26013.08862,10670.21242,9035.990761,9177.825665,8905.812915,8095.082336,7169.6251,11921.47406,11571.40952,11102.90016,9141.070527,9211.123704
A24001PU2_3370_4020,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Forest,29875.43213,26634.2876,26518.33765,26580.83349,26638.01794,26639.86365,26548.37036,25621.66218,25427.50222,25989.14764,26852.64012,27075.50843
A24001PU2_3370_4020,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Non-Tidal Atm,133.3383942,65.14215088,65.14215088,65.14215088,65.14215088,65.14215088,65.14215088,65.14215088,65.14215088,65.14215088,65.14215371,65.14215559
A24003WM0_3742_0000,24003,ANNE ARUNDEL,Patapsco/Back,Western Shore of Chesapeake Bay,Wastewater,45849.73828,33734.55859,20323.24023,22419.32031,,,,,,,8129.296092,
A24001PU2_3370_4020,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Septic,507.0567017,456.5592957,453.7658997,452.2054138,450.6447144,449.6047974,654.5565796,462.6343994,463.8023071,467.6469116,396.4163822,358.1833706
A24001PU2_3370_4020,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Stormwater,2761.165405,2022.139183,2003.209526,1978.076027,2030.51123,1983.157387,2631.522316,2103.256401,2320.136719,2270.477821,1837.444378,1726.934279
A24001PU2_3370_4020,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Wastewater,308.5470886,287.7156982,304.4714966,404.3742981,333.3457031,276.0367126,420.8963928,279.8178101,0,256.2800903,319.9774137,330.3146917
A24001PU4_3780_3930,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Agriculture,13775.61445,5650.571774,4785.134495,4860.272224,4723.273203,4288.990954,3798.508492,6314.498611,6127.141136,5879.224541,4840.771684,4877.863143
A24001PU4_3780_3930,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Forest,15014.06006,13511.49646,13455.10273,13488.09467,13526.37433,13520.93896,13508.28345,12941.65912,12896.73115,13182.22177,13624.76704,13737.87658
A24001PU4_3780_3930,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Non-Tidal Atm,896.1201782,437.7974854,437.7974854,437.7974854,437.7974854,437.7974854,437.7974854,437.7974854,437.7974854,437.7974854,437.7974979,437.7975062
A24001PU4_3780_3930,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Septic,355.9071045,322.2250977,316.4786072,314.2338867,311.9894104,310.8684998,442.4195862,329.006897,327.3616943,326.0982971,275.9309375,248.8991577
A24001PU4_3780_3930,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Stormwater,7760.065834,5591.737098,5551.856265,5388.593251,5381.517338,5400.509361,5799.773476,5808.217048,5479.907742,5479.532051,5036.105706,4692.272
A24001PU4_3780_3930,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Wastewater,6702.571533,5767.357055,5767.357055,5767.357055,1745.160034,1745.160034,269.0371094,269.0371094,269.0371094,269.0371094,6141.866168,6391.53891
A24001PU4_3890_3990,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Agriculture,250.6913609,102.8638684,87.05338639,88.5271388,85.81870276,78.12439298,69.10567909,114.9508345,111.544391,107.049799,88.0986038,88.79541542
A24001PU4_3890_3990,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Forest,56.78361988,58.48361183,58.73229456,59.14806032,59.64732051,59.89205551,69.0668447,64.77987713,64.74752406,66.48462689,59.48228161,59.98227298
A24001PU4_3890_3990,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Non-Tidal Atm,163.7411957,79.99536133,79.99536133,79.99536133,79.99536133,79.99536133,79.99536133,79.99536133,79.99536133,79.99536133,79.9953579,79.99535562
A24001PU4_3890_3990,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Septic,0,0,0,0,0,0,0,0,0,0,0,0
A24001PU4_3890_3990,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Stormwater,68.06265006,52.21951064,51.50186747,51.0663243,51.02728887,50.9322486,22.57509635,22.46120627,22.23180196,22.37248646,47.30934924,44.51433709
A24001PU4_3890_3990,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Wastewater,9047.053956,9064.996827,9064.996827,9064.996827,9971.070801,9971.070801,9947.940918,9947.940918,9947.940918,9947.940918,7143.253114,5862.090639
A24001PU4_3990_3780,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Agriculture,198.9742988,81.56822634,69.09467363,70.21125934,68.15626382,61.96408287,54.86983162,91.22656536,88.53537488,84.94945383,69.9080294,70.45026657
A24001PU4_3990_3780,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Forest,59.39639186,52.91602206,52.55296683,52.9722302,53.16026259,52.95860815,63.85013271,60.14047772,60.78371745,62.4354651,53.22579276,53.67434338
A24001PU4_3990_3780,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Non-Tidal Atm,175.2120972,85.59942627,85.59942627,85.59942627,85.59942627,85.59942627,85.59942627,85.59942627,85.59942627,85.59942627,85.59942688,85.59942729
A24001PU4_3990_3780,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Septic,0,0,0,0,0,0,0,0,0,0,0,0
A24001PU4_3990_3780,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Stormwater,252.9413576,234.6828003,233.2803593,222.6756526,221.1401622,226.2083128,190.1159213,188.534922,184.1762713,184.4709673,210.4092539,195.1618503
A24001PU4_3990_3780,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Wastewater,155036.9098,84204.98637,90380.73637,104034.7442,59928.71037,20930.88224,26676.38202,22523.29218,17444.75116,27905.05194,68069.90279,53196.01374
A24001PU5_3930_4170,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Agriculture,25909.70146,10627.74674,9000.069359,9141.292934,8890.512317,8067.018474,7122.828804,11853.17267,11524.28528,11057.82118,9104.695401,9174.446096
A24001PU5_3930_4170,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Forest,42033.71826,37136.95947,36951.1139,37024.91785,37119.47607,37077.5393,37095.44544,35665.07675,35395.66895,36157.15509,37416.51367,37726.78019
A24001PU5_3930_4170,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Non-Tidal Atm,864.3773804,422.2896118,422.2896118,422.2896118,422.2896118,422.2896118,422.2896118,422.2896118,422.2896118,422.2896118,422.2895721,422.2895457
A24001PU5_3930_4170,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Septic,1692.30896,1443.590942,1413.510986,1399.411987,1390.44104,1378.573975,1844.833008,1460.744995,1451.688965,1436.213013,1230.475009,1108.451025
A24001PU5_3930_4170,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Stormwater,4036.763428,3139.921173,3106.397217,3049.685059,3043.06897,3048.619996,3505.848511,3493.667785,3692.388123,3619.773193,2837.087403,2657.547528
A24001PU5_3930_4170,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Wastewater,0,0,0,0,0,0,0,0,0,0,133.0772528,221.7954213
A24001PU5_4170_4020,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Agriculture,370.2844594,151.8971558,128.6577056,130.5685213,126.7761623,115.3267901,102.1352788,169.6624766,164.7459147,158.0673361,130.0933339,131.0504195
A24001PU5_4170_4020,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Forest,1812.28273,1570.77507,1561.031494,1563.123352,1564.924157,1563.077995,1566.116272,1511.421041,1500.456975,1531.284977,1580.658109,1593.74252
A24001PU5_4170_4020,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Non-Tidal Atm,555.7891235,271.5295105,271.5295105,271.5295105,271.5295105,271.5295105,271.5295105,271.5295105,271.5295105,271.5295105,271.5295021,271.5294965
A24001PU5_4170_4020,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Septic,0,5.631364822,5.367186069,5.236279011,5.236281872,5.236299992,6.545972824,7.853787899,0,7.832178116,4.635412648,4.1475637
A24001PU5_4170_4020,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Stormwater,5.114351988,3.869580984,3.821786046,3.773731947,3.761368036,3.766434073,8.000995159,8.696262001,6.888655901,6.606855154,3.50171363,3.288332019
A24001PU5_4170_4020,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Wastewater,0,0,0,0,0,0,0,0,0,0,0,
A24001PU6_3870_3690,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Agriculture,433.5246306,177.7960265,150.5348153,152.9051883,148.4557387,134.9554289,119.41729,198.7282534,192.8144276,184.9160092,152.3083606,153.4907241
A24001PU6_3870_3690,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Forest,16820.55725,14456.67511,14359.38202,14374.48132,14385.70831,14364.53967,14379.49756,13899.9807,13785.06498,14063.69846,14539.90575,14660.25491
A24001PU6_3870_3690,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Non-Tidal Atm,4568.291992,2231.827881,2231.827881,2231.827881,2231.827881,2231.827881,2231.827881,2231.827881,2231.827881,2231.827881,2231.827972,2231.828032
A24001PU6_3870_3690,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Septic,0,43.70524979,41.59412003,40.54740143,40.4165802,40.15549088,25.12002945,64.06614685,63.67108917,63.16136932,35.90793601,32.11714667
A24001PU6_3870_3690,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Stormwater,899.7453623,687.7141333,679.5969992,669.6103973,667.5608063,668.8363953,748.0962334,754.1343498,797.3194962,781.9587097,622.0450854,583.6771428
A24001PU6_3870_3690,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Wastewater,0,0,0,0,0,0,0,0,0,0,0,
A24001PU6_4020_3870,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Agriculture,2906.60399,1192.162282,1009.609232,1025.492976,997.2579651,904.9665965,801.5333814,1332.34951,1292.694167,1240.522383,1021.356209,1029.187527
A24001PU6_4020_3870,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Forest,18178.66382,15723.46448,15623.96735,15643.84009,15668.5495,15640.72321,15625.56915,15126.56439,15020.10686,15327.01855,15820.38095,15951.32335
A24001PU6_4020_3870,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Non-Tidal Atm,839.1027832,409.9419861,409.9419861,409.9419861,409.9419861,409.9419861,409.9419861,409.9419861,409.9419861,409.9419861,409.9419488,409.9419239
A24001PU6_4020_3870,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Septic,0,176.8988953,166.7669983,161.736496,159.0175018,156.3022003,123.8630981,211.7799072,210.3258057,206.5169067,143.5727495,128.1099169
A24001PU6_4020_3870,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Stormwater,997.8723273,695.7926186,684.7080506,683.627861,680.914986,680.8421477,941.081948,770.7013064,699.5722489,704.2067783,631.6975617,596.3572357
A24001PU6_4020_3870,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Wastewater,0,0,0,0,0,0,0,0,0,0,0,
A24003WM0_3742_0000,24003,ANNE ARUNDEL,Patapsco/Back,Western Shore of Chesapeake Bay,Stormwater,0,0,0,0,,,,,,,0,0
A24003WL0_4390_0000,24003,ANNE ARUNDEL,Lower Western Shore,Western Shore of Chesapeake Bay,Agriculture,416.3212325,235.5181271,217.0162646,209.0701607,197.9295943,190.8476736,182.0671316,187.2145286,170.6522458,167.5657538,154.7146087,113.1801715
A24003WL0_4390_0000,24003,ANNE ARUNDEL,Lower Western Shore,Western Shore of Chesapeake Bay,Forest,8764.888672,5910.370819,5699.94577,5650.783264,5615.114777,5563.244934,6129.151184,5672.618011,5589.511761,5627.946739,5651.03187,5618.422603
A24003WL0_4390_0000,24003,ANNE ARUNDEL,Lower Western Shore,Western Shore of Chesapeake Bay,Non-Tidal Atm,622.4354248,308.3887024,308.3887024,308.3887024,308.3887024,308.3887024,308.3887024,308.3887024,308.3887024,308.3887024,308.3887035,308.3887043
A24003WL0_4390_0000,24003,ANNE ARUNDEL,Lower Western Shore,Western Shore of Chesapeake Bay,Septic,62891.73828,66556.71875,66119.11719,65737.09375,65199.26172,64643.98828,64304.17188,64867.57813,64624.78906,64162.98047,47275.94116,34713.8238
A24003WL0_4390_0000,24003,ANNE ARUNDEL,Lower Western Shore,Western Shore of Chesapeake Bay,Stormwater,60435.63823,56345.0402,55802.26906,53881.68906,53892.38492,54411.66883,51758.19806,51954.63992,52406.86505,52359.94727,43695.42705,35624.19905
A24003WL0_4390_0000,24003,ANNE ARUNDEL,Lower Western Shore,Western Shore of Chesapeake Bay,Wastewater,0,2625.844971,2629.88501,2631.936035,2631.936035,2631.936035,15.21300983,15.21300983,15.21300983,15.21300983,1061.074315,15.20051844
A24003WL0_4391_0000,24003,ANNE ARUNDEL,Lower Western Shore,Western Shore of Chesapeake Bay,Agriculture,1243.690089,703.4736435,647.9833051,624.5808881,592.0332049,569.9948318,543.9494352,559.5403112,509.6462049,500.2931142,462.0970891,338.1729451
A24003WL0_4391_0000,24003,ANNE ARUNDEL,Lower Western Shore,Western Shore of Chesapeake Bay,Forest,5297.590973,4240.712006,4167.061173,4118.940628,4115.521439,4100.999115,3960.388107,3748.635296,3707.574858,3725.862759,4131.68115,4108.094468
A24003WL0_4391_0000,24003,ANNE ARUNDEL,Lower Western Shore,Western Shore of Chesapeake Bay,Non-Tidal Atm,1999.70105,990.762085,990.762085,990.762085,990.762085,990.762085,990.762085,990.762085,990.762085,990.762085,990.7620655,990.7620525
A24003WL0_4391_0000,24003,ANNE ARUNDEL,Lower Western Shore,Western Shore of Chesapeake Bay,Septic,0,34588.94922,34652.80078,34597.19922,34348.33984,34090.82031,36190.64063,39290.83984,39266.37891,39120.94922,24822.74388,18269.37261
A24003WL0_4391_0000,24003,ANNE ARUNDEL,Lower Western Shore,Western Shore of Chesapeake Bay,Stormwater,15456.59254,14481.01013,14350.17912,13881.94608,13856.59116,14015.21883,14816.2009,15157.66653,14989.76608,15006.75412,11253.82022,9189.580957
A24003WL0_4391_0000,24003,ANNE ARUNDEL,Lower Western Shore,Western Shore of Chesapeake Bay,Wastewater,0,256.5952148,65.09204865,0.609612584,0.609612584,0.609612584,0.609612584,0.609612584,0.609612584,0.609612584,26.40228666,0.609112
A24003WL0_4392_0000,24003,ANNE ARUNDEL,Lower Western Shore,Western Shore of Chesapeake Bay,Agriculture,1491.935495,844.0517972,777.4484856,749.4569226,710.0805653,683.6079171,652.5384725,671.3037586,611.5679264,600.0528808,554.3834107,405.6733607
A24003WL0_4392_0000,24003,ANNE ARUNDEL,Lower Western Shore,Western Shore of Chesapeake Bay,Forest,6184.785827,3260.612625,3128.580826,3133.80278,3119.420623,3099.202514,3307.43216,3033.76305,2930.37673,2959.149109,3102.085491,3084.421934
A24003WL0_4392_0000,24003,ANNE ARUNDEL,Lower Western Shore,Western Shore of Chesapeake Bay,Non-Tidal Atm,1368.453003,678.0067749,678.0067749,678.0067749,678.0067749,678.0067749,678.0067749,678.0067749,678.0067749,678.0067749,678.0067729,678.0067715
A24003WL0_4392_0000,24003,ANNE ARUNDEL,Lower Western Shore,Western Shore of Chesapeake Bay,Septic,20452.75,21836.64063,21596.14063,21422.09961,21217.92969,20993.32031,17946.46094,18472.2793,18396.66016,18229.13086,15426.88844,11314.05364
A24003WL0_4392_0000,24003,ANNE ARUNDEL,Lower Western Shore,Western Shore of Chesapeake Bay,Stormwater,49976.0385,49573.35697,49011.51406,47199.34979,47188.47727,47549.98752,46966.2695,47497.80738,47075.96481,47020.12927,38273.92922,31115.53932
A24003WL0_4392_0000,24003,ANNE ARUNDEL,Lower Western Shore,Western Shore of Chesapeake Bay,Wastewater,0,14370.03027,6246.821777,6246.821777,6246.821777,6246.821777,3.950078964,3.950078964,3.950078964,3.950078964,2533.802473,58.45627018
A24003WL0_4393_0000,24003,ANNE ARUNDEL,Lower Western Shore,Western Shore of Chesapeake Bay,Agriculture,456.445358,258.1631482,237.7424748,229.2093987,217.5243685,209.2327711,199.5360716,205.3928275,187.0002608,183.5772374,169.5718075,124.124696
A24003WL0_4393_0000,24003,ANNE ARUNDEL,Lower Western Shore,Western Shore of Chesapeake Bay,Forest,209.6118946,205.4112768,205.9088316,204.6738539,205.6300478,206.3700122,150.7212201,148.2864133,141.8964572,143.6366398,204.1930825,203.0492498
A24003WL0_4393_0000,24003,ANNE ARUNDEL,Lower Western Shore,Western Shore of Chesapeake Bay,Non-Tidal Atm,114.7687988,56.8628006,56.8628006,56.8628006,56.8628006,56.8628006,56.8628006,56.8628006,56.8628006,56.8628006,56.8628008,56.86280094
A24003WL0_4393_0000,24003,ANNE ARUNDEL,Lower Western Shore,Western Shore of Chesapeake Bay,Septic,0,1002.554016,955.369812,926.0734863,911.9197998,870.503418,993.3306274,1449.838989,1524.470947,1511.832031,675.5008066,488.9214696
A24003WL0_4393_0000,24003,ANNE ARUNDEL,Lower Western Shore,Western Shore of Chesapeake Bay,Stormwater,608.2563476,493.7317848,484.4381179,466.3370285,466.3448906,469.1564941,717.3631191,715.215744,719.3628473,718.7211742,378.049966,307.1245313
A24003WL0_4393_0000,24003,ANNE ARUNDEL,Lower Western Shore,Western Shore of Chesapeake Bay,Wastewater,0,1719.833008,1719.833008,1719.833008,1719.833008,1719.833008,59.4311409,59.4311409,59.4311409,59.4311409,691.5842205,6.08502888
A24003WL0_4394_0000,24003,ANNE ARUNDEL,Lower Western Shore,Western Shore of Chesapeake Bay,Agriculture,960.4208969,543.3573146,500.3974141,482.2497084,457.0863457,440.2521806,419.9739686,432.2561135,393.7303247,386.4106646,356.783271,261.0405089
A24003WL0_4394_0000,24003,ANNE ARUNDEL,Lower Western Shore,Western Shore of Chesapeake Bay,Forest,1353.010346,1192.811127,1168.771263,1152.67025,1148.678463,1145.19141,703.0378933,1015.851104,1004.141091,1008.688801,1158.835662,1152.211929
A24003WL0_4394_0000,24003,ANNE ARUNDEL,Lower Western Shore,Western Shore of Chesapeake Bay,Non-Tidal Atm,1165.394043,577.4003906,577.4003906,577.4003906,577.4003906,577.4003906,577.4003906,577.4003906,577.4003906,577.4003906,577.4003918,577.4003926
A24003WL0_4394_0000,24003,ANNE ARUNDEL,Lower Western Shore,Western Shore of Chesapeake Bay,Septic,1637.019043,2267.791992,2251.804932,2242.39209,2228.211914,2211.23291,2302.669922,2495.774902,2471.085938,2487.447021,1611.018844,1183.828119
A24003WL0_4394_0000,24003,ANNE ARUNDEL,Lower Western Shore,Western Shore of Chesapeake Bay,Stormwater,2395.600143,2131.919556,2141.35173,2092.484482,2101.194138,2131.415944,4054.516968,2606.352592,2617.752838,2628.893509,1700.656664,1406.859953
A24003WL0_4394_0000,24003,ANNE ARUNDEL,Lower Western Shore,Western Shore of Chesapeake Bay,Wastewater,235209.7031,54144.44556,30312.37524,45186.92602,34143.97485,33673.39477,31339.8125,68645.15039,40395.14258,26949.3125,13059.74072,1557.984372
A24003WL0_4420_0000,24003,ANNE ARUNDEL,Lower Western Shore,Western Shore of Chesapeake Bay,Agriculture,8798.816273,4977.424095,4642.478919,4476.432787,4227.247852,4070.357311,3885.906412,4001.103,3645.408031,3579.348106,3472.081172,2691.816008
A24003WL0_4420_0000,24003,ANNE ARUNDEL,Lower Western Shore,Western Shore of Chesapeake Bay,Forest,18292.78967,11601.43518,11008.92248,10819.52582,10681.63476,10541.98886,10721.94391,10018.54191,9829.448715,9865.847015,10913.00433,10849.0589
A24003WL0_4420_0000,24003,ANNE ARUNDEL,Lower Western Shore,Western Shore of Chesapeake Bay,Non-Tidal Atm,48.55147171,24.05507088,24.05507088,24.05507088,24.05507088,24.05507088,24.05507088,24.05507088,24.05507088,24.05507088,24.05507089,24.05507089
A24003WL0_4420_0000,24003,ANNE ARUNDEL,Lower Western Shore,Western Shore of Chesapeake Bay,Septic,15433.66016,23610.32031,24398.14063,24739.84961,24858.66016,24940.57031,22093.84961,22538.57031,22504.0293,22407.28906,17595.50552,13060.41545
A24003WL0_4420_0000,24003,ANNE ARUNDEL,Lower Western Shore,Western Shore of Chesapeake Bay,Stormwater,58980.38721,68974.35938,69269.77923,67251.22586,67564.43927,68503.93433,66955.05621,68202.4696,69340.2533,69442.6377,54476.89644,44614.97458
A24013WM0_3881_3880,24013,CARROLL,Patapsco/Back,Western Shore of Chesapeake Bay,Stormwater,0,0,0,0,0,0,0,0,0,0,0,0
A24003WL0_4420_0000,24003,ANNE ARUNDEL,Lower Western Shore,Western Shore of Chesapeake Bay,Wastewater,0,758.939209,794.6848755,794.6848755,794.6848755,794.6848755,97.50583649,97.50583649,97.50583649,97.50583649,350.9249402,55.08498327
A24003WL0_4421_0000,24003,ANNE ARUNDEL,Lower Western Shore,Western Shore of Chesapeake Bay,Agriculture,4383.082281,2479.443166,2322.347098,2239.420889,2114.989497,2034.171629,1942.130055,2000.308867,1822.576771,1789.762644,1765.084823,1393.576639
A24003WL0_4421_0000,24003,ANNE ARUNDEL,Lower Western Shore,Western Shore of Chesapeake Bay,Forest,7404.893738,5856.007233,5748.223023,5695.326843,5693.464905,5680.035004,6009.103943,5700.821659,5599.774933,5639.996048,5699.508016,5667.031345
A24003WL0_4421_0000,24003,ANNE ARUNDEL,Lower Western Shore,Western Shore of Chesapeake Bay,Non-Tidal Atm,746.0371704,369.6278992,369.6278992,369.6278992,369.6278992,369.6278992,369.6278992,369.6278992,369.6278992,369.6278992,369.6278987,369.6278983
A24003WL0_4421_0000,24003,ANNE ARUNDEL,Lower Western Shore,Western Shore of Chesapeake Bay,Septic,35592.19141,37394.51953,37753.69141,37801.96875,37593.98828,37294.53906,37675.80078,37710.98047,37608.53906,37408.37891,27089.32859,19979.75337
