Land-River Segment,FIPS,County,Tributary Basin,Major Basin,Source Sector,"Total P, 1985 (lb.)","Total P, 2007 (lb.)","Total P, 2009 (lb.)","Total P, 2010 (lb.)","Total P, 2011 (lb.)","Total P, 2012 (lb.)","Total P, 2013 (lb.)","Total P, 2014 (lb.)","Total P, 2015 (lb.)","Total P, 2016 (lb.)","Total P Target, 2017 (lb.)",Total P Target 2025 (lb.)
A24001PU4_3890_3990,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Forest,2.561382682,2.883301139,2.884410419,2.90543814,2.930363044,2.953921601,3.407099157,3.201944012,3.201265601906925,3.283042132854462,2.9193526658,2.942647497
A24001PU4_3890_3990,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Non-Tidal Atm,12.075579640000001,12.075579640000001,12.075579640000001,12.075579640000001,12.075579640000001,12.075579640000001,12.075579640000001,12.075579640000001,12.075579643249513,12.075579643249513,12.075577773999999,12.075576529999999
A24001PU4_3890_3990,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Septic,0,0,0,0,0,0,0,0,0,0,0,0
A24001PU4_3890_3990,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Stormwater,11.497645982,11.237060585,11.180363991,11.119686139000001,11.115559462,11.070191531000001,4.570457273,4.517328633,4.375924256630241,4.525856385007501,9.446019190200001,8.289789323000001
A24001PU4_3890_3990,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Wastewater,185.12049870000001,201.42188838999999,201.42188838999999,201.42188838999999,315.71139339000001,315.71139339000001,299.4100037,299.4100037,299.41000366210937,299.41000366210937,206.15238017799999,209.30604137
A24001PU4_3990_3780,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Agriculture,39.465144856999999,14.012829557,11.727166615,11.058393217000001,10.255838991999999,8.955033458999999,8.594191894,20.443476531999998,19.536337964236736,18.58488167822361,10.757858687200001,10.111653402
A24001PU4_3990_3780,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Forest,2.634371861,2.565102532,2.537690476,2.55846791,2.567746892,2.56818951,3.096976489,2.922824496,2.954931614920496,3.031497113406658,2.5685112796,2.589058482
A24001PU4_3990_3780,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Non-Tidal Atm,12.70503044,12.70503044,12.70503044,12.70503044,12.70503044,12.70503044,12.70503044,12.70503044,12.705030441284178,12.705030441284178,12.705027835999999,12.7050261
A24001PU4_3990_3780,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Septic,0,0,0,0,0,0,0,0,0,0,0,0
A24001PU4_3990_3780,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Stormwater,29.728630423999999,31.962001564000001,31.251054289999999,29.153130417,28.791663521,30.095511317,17.502885076999998,17.412633375999999,15.866004440933466,17.170292057096958,25.407441044599999,21.511698881000001
A24001PU4_3990_3780,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Wastewater,99682.275406000001,24999.586644999999,24430.467505000001,24358.307345000001,15494.000998,4637.7197488000002,2704.6524101,5087.0252130999997,2315.9734550118446,2133.2783866524696,13762.329497260002,6650.2374921000001
A24001PU5_3930_4170,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Agriculture,4306.2061651000004,1530.9933186000001,1280.4128952000001,1207.2295578999999,1118.9477277000001,976.09271365999996,935.99806883999997,2228.2794014999999,2130.6393089294434,2026.4663047790527,1174.4073745200001,1103.7370274
A24001PU5_3930_4170,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Forest,1562.6918486,1508.9641263000001,1495.6242983,1498.9166413999999,1502.3370511999999,1507.1350327,1508.1333924999999,1452.8952420999999,1442.3347148895261,1471.5126266479494,1513.5088135399999,1525.4318237
A24001PU5_3930_4170,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Non-Tidal Atm,52.537570950000003,52.537570950000003,52.537570950000003,52.537570950000003,52.537570950000003,52.537570950000003,52.537570950000003,52.537570950000003,52.537570953369141,52.537570953369141,52.537571327999999,52.537571579999998
A24001PU5_3930_4170,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Septic,0,0,0,0,0,0,0,0,0,0,0,0
A24001PU5_3930_4170,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Stormwater,502.48505022000001,472.36632350000002,469.94881822000002,463.71763608999998,461.59680179999998,462.70763395,505.75355915,507.18386075000001,535.51488494873047,529.88881683349609,392.98779848800001,341.680452
A24001PU5_3930_4170,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Wastewater,0,0,0,0,0,0,0,0,0,0,30.998358203999999,51.66393034
A24001PU5_4170_4020,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Agriculture,56.302273904000003,20.016449885,16.753140857999998,15.766634718000001,14.58928504,12.780845963999999,12.262605555,29.128316407,27.877424165606495,26.503902092576027,15.348953140799999,14.412827996000001
A24001PU5_4170_4020,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Forest,61.637686250999998,58.389008044999997,57.803095581999997,57.892285819999998,57.965919020999998,58.125386476000003,58.248609064999997,56.327578545000001,55.935075320303433,57.012497186660759,58.493168668599999,58.953217393000003
A24001PU5_4170_4020,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Non-Tidal Atm,30.904470440000001,30.904470440000001,30.904470440000001,30.904470440000001,30.904470440000001,30.904470440000001,30.904470440000001,30.904470440000001,30.904470443725582,30.904470443725582,30.904472192,30.904473360000001
A24001PU5_4170_4020,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Septic,0,0,0,0,0,0,0,0,0,0,0,0
A24003WL0_4392_0000,24003,ANNE ARUNDEL,Lower Western Shore,Western Shore of Chesapeake Bay,Septic,0,0,0,0,0,0,0,0,0,0,0,0
A24001PU5_4170_4020,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Stormwater,0.623234681,0.584603369,0.581636533,0.576638601,0.573535457,0.574572966,1.294655115,1.459534571,1.028964877128601,0.993392385542393,0.4893347224,0.427800182
A24001PU5_4170_4020,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Wastewater,0,0,0,0,0,0,0,0,0,0,0,
A24001PU6_3870_3690,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Agriculture,56.290714448000003,20.006614058,16.738137662,15.781470292,14.608576806,12.773947332000001,12.162754282,29.048917438,27.750119566917419,26.375653639435768,15.352725313399999,14.429117080999999
A24001PU6_3870_3690,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Forest,491.90813831000003,461.68302724,456.83513455000002,457.40460396999998,457.81360627999999,458.93298338,459.48483274,445.15653327000001,441.62656307220448,449.92580413818354,462.25629638200002,465.87040426999999
A24001PU6_3870_3690,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Non-Tidal Atm,233.04209900000001,233.04209900000001,233.04209900000001,233.04209900000001,233.04209900000001,233.04209900000001,233.04209900000001,233.04209900000001,233.04209899902344,233.04209899902344,233.04206780000001,233.042047
A24001PU6_3870_3690,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Septic,0,0,0,0,0,0,0,0,0,0,0,0
A24001PU6_3870_3690,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Stormwater,91.750341415999998,86.174924677000007,85.731849849,84.852248189999997,84.414528849999996,84.593313210000005,91.247711181,92.179253574000001,97.172276496887193,96.191348075866699,72.000739335600002,62.846665659999999
A24001PU6_3870_3690,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Wastewater,0,0,0,0,0,0,0,0,0,0,0,
A24001PU6_4020_3870,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Agriculture,429.33690496999998,152.61365354,127.64002204000001,120.36378963,111.561288,97.306088196000005,93.475771789999996,222.29123281,212.39670288562778,202.05523967742926,117.081727942,110.04286521
A24001PU6_4020_3870,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Forest,600.63055414999997,567.79392628000005,562.02580834000003,562.85410119999995,563.60961533,565.02431487000001,564.57597924000004,547.64750765999997,543.94974273443211,554.36663818359375,568.73458445200004,573.20710185999997
A24001PU6_4020_3870,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Non-Tidal Atm,45.326461790000003,45.326461790000003,45.326461790000003,45.326461790000003,45.326461790000003,45.326461790000003,45.326461790000003,45.326461790000003,45.326461791992195,45.326461791992195,45.326458274000004,45.326455930000002
A24001PU6_4020_3870,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Septic,0,0,0,0,0,0,0,0,0,0,0,0
A24001PU6_4020_3870,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Stormwater,135.00288302000001,121.54335417,120.93501675,120.7715008,120.0866585,120.1110635,168.55904267,137.11980138999999,119.13442994654179,122.32871693372728,102.746468244,90.620769240000001
A24001PU6_4020_3870,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Wastewater,0,0,0,0,0,0,0,0,0,0,0,
A24003WL0_4390_0000,24003,ANNE ARUNDEL,Lower Western Shore,Western Shore of Chesapeake Bay,Agriculture,36.344677310999998,25.696470980000001,24.812233124999999,24.859606318000001,23.970221391999999,23.900977886,23.409854063000001,21.344225555000001,19.715852275490754,19.568976059556004,21.255715168199998,18.884703197
A24003WL0_4390_0000,24003,ANNE ARUNDEL,Lower Western Shore,Western Shore of Chesapeake Bay,Forest,273.21812444,196.91124244,189.54986288000001,187.29344513000001,186.10059741000001,184.73575547999999,203.52605059999999,188.66079554000001,185.90597796440125,187.06974172592163,187.67925951200002,186.43219060000001
A24003WL0_4390_0000,24003,ANNE ARUNDEL,Lower Western Shore,Western Shore of Chesapeake Bay,Non-Tidal Atm,18.8174305,18.8174305,18.8174305,18.8174305,18.8174305,18.8174305,18.8174305,18.8174305,18.81743049621582,18.81743049621582,18.817430571999999,18.81743062
A24003WL0_4390_0000,24003,ANNE ARUNDEL,Lower Western Shore,Western Shore of Chesapeake Bay,Septic,0,0,0,0,0,0,0,0,0,0,0,0
A24003WL0_4390_0000,24003,ANNE ARUNDEL,Lower Western Shore,Western Shore of Chesapeake Bay,Stormwater,5049.3720055000003,5308.5653382999999,5154.6634453999995,4950.6501765000003,4921.9357148999998,4985.0871429999997,4037.8895134999998,4117.8213730999996,4131.7279663085937,4135.4194793701181,3602.0691149599998,2567.0062280000002
A24003WL0_4390_0000,24003,ANNE ARUNDEL,Lower Western Shore,Western Shore of Chesapeake Bay,Wastewater,0,1406.3790280000001,1406.399048,1406.410034,1406.410034,1406.410034,0.306557208,0.306557208,0.306557208299637,0.306557208299637,562.74340390340001,0.306307839
A24003WL0_4391_0000,24003,ANNE ARUNDEL,Lower Western Shore,Western Shore of Chesapeake Bay,Agriculture,108.5115904,76.746378579999998,74.032945436000006,74.295864549000001,71.772105616000005,71.350057578999994,70.014136183000005,63.855303405000001,58.906254768371582,58.398381948471076,63.495627481400007,56.470748845000003
A24003WL0_4391_0000,24003,ANNE ARUNDEL,Lower Western Shore,Western Shore of Chesapeake Bay,Forest,165.13592811999999,141.28447917,138.57404896,136.51449438,136.39486697000001,136.17636299,131.50772570999999,124.67273209,123.31310385465622,123.8451873064041,137.217220486,136.31266816999999
A24003WL0_4391_0000,24003,ANNE ARUNDEL,Lower Western Shore,Western Shore of Chesapeake Bay,Non-Tidal Atm,60.454860689999997,60.454860689999997,60.454860689999997,60.454860689999997,60.454860689999997,60.454860689999997,60.454860689999997,60.454860689999997,60.454860687255859,60.454860687255859,60.454859501999998,60.454858710000003
A24003WL0_4391_0000,24003,ANNE ARUNDEL,Lower Western Shore,Western Shore of Chesapeake Bay,Septic,0,0,0,0,0,0,0,0,0,0,0,0
A24003WL0_4391_0000,24003,ANNE ARUNDEL,Lower Western Shore,Western Shore of Chesapeake Bay,Stormwater,1286.8822479999999,1366.3148822999999,1331.7647066,1286.0330885999999,1270.9481172999999,1294.2924061000001,1227.7886581,1274.9850234999999,1234.588737487793,1235.3128433227541,935.38177866199999,671.12649337000005
A24003WL0_4391_0000,24003,ANNE ARUNDEL,Lower Western Shore,Western Shore of Chesapeake Bay,Wastewater,0,137.1656036,34.54721069,0.003047698,0.003047698,0.003047698,0.003047698,0.003047698,0.003047697944567,0.003047697944567,13.820711612,0.00304556
A24003WL0_4392_0000,24003,ANNE ARUNDEL,Lower Western Shore,Western Shore of Chesapeake Bay,Agriculture,130.18083372000001,92.080575994,88.858277830000006,89.139155501999994,86.060233542000006,85.586379272000002,83.964008225000001,76.646571991000002,70.723165869712815,70.039225697517395,76.178297567200005,67.724977392
A24003WL0_4392_0000,24003,ANNE ARUNDEL,Lower Western Shore,Western Shore of Chesapeake Bay,Forest,192.79149346,108.6312571,104.04016876,103.87354756000001,103.39244605,102.91578769,109.82937767,100.89788212000001,97.463661372661591,98.360875129699707,103.02531792399999,102.3487507
A24003WL0_4392_0000,24003,ANNE ARUNDEL,Lower Western Shore,Western Shore of Chesapeake Bay,Non-Tidal Atm,41.370990749999997,41.370990749999997,41.370990749999997,41.370990749999997,41.370990749999997,41.370990749999997,41.370990749999997,41.370990749999997,41.370990753173821,41.370990753173821,41.370990630000001,41.370990550000002
A24003WL0_4392_0000,24003,ANNE ARUNDEL,Lower Western Shore,Western Shore of Chesapeake Bay,Stormwater,4218.9901237000004,4603.9416881999996,4474.6108805000003,4275.5817082000003,4258.8262464999998,4299.0443949999999,3729.8854639000001,3842.5766533999999,3772.1449203491206,3776.0142669677748,3101.2746847400003,2185.7172209
A24003WL0_4392_0000,24003,ANNE ARUNDEL,Lower Western Shore,Western Shore of Chesapeake Bay,Wastewater,0,7697.5859380000002,3345.86499,3345.86499,3345.86499,3345.86499,0.279179811,0.279179811,0.279179811477661,0.279179811477661,1339.8652306428,2.532057738
A24003WL0_4393_0000,24003,ANNE ARUNDEL,Lower Western Shore,Western Shore of Chesapeake Bay,Agriculture,39.832449591,28.174681351,27.176714831999998,27.284229495000002,26.386171856000001,26.180796532999999,25.666427239000001,23.460691837999999,21.630675673484799,21.459254592657089,23.314750837799998,20.740108175
A24003WL0_4393_0000,24003,ANNE ARUNDEL,Lower Western Shore,Western Shore of Chesapeake Bay,Forest,6.533982813,6.843519866,6.84742102,6.783473789,6.813347668,6.852633715,5.005032137,4.931834753,4.71949471347034,4.774514123797418,6.781381918,6.73735585
A24003WL0_4393_0000,24003,ANNE ARUNDEL,Lower Western Shore,Western Shore of Chesapeake Bay,Non-Tidal Atm,3.469685078,3.469685078,3.469685078,3.469685078,3.469685078,3.469685078,3.469685078,3.469685078,3.469685077667236,3.469685077667236,3.4696850906,3.469685099
A24003WL0_4393_0000,24003,ANNE ARUNDEL,Lower Western Shore,Western Shore of Chesapeake Bay,Septic,0,0,0,0,0,0,0,0,0,0,0,0
A24003WL0_4393_0000,24003,ANNE ARUNDEL,Lower Western Shore,Western Shore of Chesapeake Bay,Stormwater,47.283765324000001,43.190078735,42.405340191000001,40.969671720000001,40.833790776000001,41.175809860000001,56.722058771,57.979896545000003,53.668065667152405,53.716553211212165,29.283393566999997,20.535429150999999
A24003WL0_4393_0000,24003,ANNE ARUNDEL,Lower Western Shore,Western Shore of Chesapeake Bay,Wastewater,0,918.10711670000001,918.10711670000001,918.10711670000001,918.10711670000001,918.10711670000001,2.164093971,2.164093971,2.164093971252441,2.164093971252441,367.26110176639997,0.030425144
A24003WL0_4394_0000,24003,ANNE ARUNDEL,Lower Western Shore,Western Shore of Chesapeake Bay,Agriculture,83.813779612000005,59.279728775999999,57.167658783999997,57.338267309000003,55.387321755000002,55.141624772999997,54.024539636999997,49.368582369000002,45.520485937595382,45.131247133016586,49.009568838999996,43.570842208999998
A24003WL0_4394_0000,24003,ANNE ARUNDEL,Lower Western Shore,Western Shore of Chesapeake Bay,Forest,42.175909994999998,39.739947553,38.867042779999998,38.202522279999997,38.068509812000002,38.026604300000002,23.345596193999999,33.785311669000002,33.397534087300301,33.528114885091789,38.485999675999999,38.231970939999997
A24003WL0_4394_0000,24003,ANNE ARUNDEL,Lower Western Shore,Western Shore of Chesapeake Bay,Non-Tidal Atm,35.23212814,35.23212814,35.23212814,35.23212814,35.23212814,35.23212814,35.23212814,35.23212814,35.232128143310554,35.232128143310554,35.232128211999999,35.232128260000003
A24003WL0_4394_0000,24003,ANNE ARUNDEL,Lower Western Shore,Western Shore of Chesapeake Bay,Stormwater,206.65994405999999,232.91593836000001,224.82223894000001,217.91181562,216.84837338,220.11260601000001,365.60589599999997,251.55067439000001,252.37411117553708,251.88667678833005,163.48936508200001,122.60078251
A24003WL0_4394_0000,24003,ANNE ARUNDEL,Lower Western Shore,Western Shore of Chesapeake Bay,Wastewater,56320.160159999999,12612.881106000001,8811.6018060000006,7714.2321769999999,5677.2790519999999,4787.1320800000003,3928.4819339999999,4100.5678719999996,3534.242919921875,2942.4530029296875,3750.6193272180008,376.63100802999998
A24003WL0_4420_0000,24003,ANNE ARUNDEL,Lower Western Shore,Western Shore of Chesapeake Bay,Agriculture,767.71949546999997,542.99234132000004,523.85805611000001,525.64929225000003,507.54736652000003,504.72555874,495.15037986999999,451.87611627000001,416.84637308120728,413.23699140548706,448.78801716800001,398.74132453999999
A24003WL0_4420_0000,24003,ANNE ARUNDEL,Lower Western Shore,Western Shore of Chesapeake Bay,Forest,570.22084042999995,386.51592254000002,366.09784891999999,358.59980963999999,354.00939176000003,350.05874631,356.03397460999997,333.19818758999997,326.92542719841003,327.93520402908325,362.437943168,359.99800599999998
A24003WL0_4420_0000,24003,ANNE ARUNDEL,Lower Western Shore,Western Shore of Chesapeake Bay,Non-Tidal Atm,1.467805028,1.467805028,1.467805028,1.467805028,1.467805028,1.467805028,1.467805028,1.467805028,1.467805027961731,1.467805027961731,1.467805028,1.467805028
A24003WL0_4420_0000,24003,ANNE ARUNDEL,Lower Western Shore,Western Shore of Chesapeake Bay,Septic,0,0,0,0,0,0,0,0,0,0,0,0
